# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: D:\quartusFPGAproject\0731\tab4\color_matrix_top.csv
# Generated on: Mon Aug 03 21:03:41 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
clk,Input,PIN_W16,4A,B4A_N0,PIN_W16,,,,,,,,,,,,,
column_green[7],Output,PIN_A10,8A,B8A_N0,PIN_A10,,,,,,,,,,,,,
column_green[6],Output,PIN_B10,8A,B8A_N0,PIN_B10,,,,,,,,,,,,,
column_green[5],Output,PIN_A13,7A,B7A_N0,PIN_A13,,,,,,,,,,,,,
column_green[4],Output,PIN_A12,7A,B7A_N0,PIN_A12,,,,,,,,,,,,,
column_green[3],Output,PIN_B12,7A,B7A_N0,PIN_B12,,,,,,,,,,,,,
column_green[2],Output,PIN_D12,7A,B7A_N0,PIN_D12,,,,,,,,,,,,,
column_green[1],Output,PIN_A15,7A,B7A_N0,PIN_A15,,,,,,,,,,,,,
column_green[0],Output,PIN_A14,7A,B7A_N0,PIN_A14,,,,,,,,,,,,,
column_red[7],Output,PIN_D7,8A,B8A_N0,PIN_D7,,,,,,,,,,,,,
column_red[6],Output,PIN_D6,8A,B8A_N0,PIN_D6,,,,,,,,,,,,,
column_red[5],Output,PIN_A9,8A,B8A_N0,PIN_A9,,,,,,,,,,,,,
column_red[4],Output,PIN_C9,8A,B8A_N0,PIN_C9,,,,,,,,,,,,,
column_red[3],Output,PIN_A8,8A,B8A_N0,PIN_A8,,,,,,,,,,,,,
column_red[2],Output,PIN_C8,8A,B8A_N0,PIN_C8,,,,,,,,,,,,,
column_red[1],Output,PIN_C11,7A,B7A_N0,PIN_C11,,,,,,,,,,,,,
column_red[0],Output,PIN_B11,7A,B7A_N0,PIN_B11,,,,,,,,,,,,,
row[7],Output,PIN_T22,5A,B5A_N0,PIN_T22,,,,,,,,,,,,,
row[6],Output,PIN_R21,5A,B5A_N0,PIN_R21,,,,,,,,,,,,,
row[5],Output,PIN_C6,8A,B8A_N0,PIN_C6,,,,,,,,,,,,,
row[4],Output,PIN_B6,8A,B8A_N0,PIN_B6,,,,,,,,,,,,,
row[3],Output,PIN_B5,8A,B8A_N0,PIN_B5,,,,,,,,,,,,,
row[2],Output,PIN_A5,8A,B8A_N0,PIN_A5,,,,,,,,,,,,,
row[1],Output,PIN_B7,8A,B8A_N0,PIN_B7,,,,,,,,,,,,,
row[0],Output,PIN_A7,8A,B8A_N0,PIN_A7,,,,,,,,,,,,,
rst,Input,PIN_C16,7A,B7A_N0,PIN_C16,,,,,,,,,,,,,
sel[1],Input,PIN_AA15,4A,B4A_N0,PIN_AA15,,,,,,,,,,,,,
sel[0],Input,PIN_AA14,4A,B4A_N0,PIN_AA14,,,,,,,,,,,,,
