# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: D:\quartusFPGAproject\0731\tab8\red_dot_top.csv
# Generated on: Wed Aug 05 16:19:30 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
clk,Input,PIN_W16,4A,B4A_N0,PIN_W16,,,,,,,,,,,,,
column[2],Input,PIN_AA13,4A,B4A_N0,PIN_AA13,,,,,,,,,,,,,
column[1],Input,PIN_AB12,4A,B4A_N0,PIN_AB12,,,,,,,,,,,,,
column[0],Input,PIN_Y16,4A,B4A_N0,PIN_Y16,,,,,,,,,,,,,
green[7],Output,PIN_A10,8A,B8A_N0,PIN_A10,,,,,,,,,,,,,
green[6],Output,PIN_B10,8A,B8A_N0,PIN_B10,,,,,,,,,,,,,
green[5],Output,PIN_A13,7A,B7A_N0,PIN_A13,,,,,,,,,,,,,
green[4],Output,PIN_A12,7A,B7A_N0,PIN_A12,,,,,,,,,,,,,
green[3],Output,PIN_B12,7A,B7A_N0,PIN_B12,,,,,,,,,,,,,
green[2],Output,PIN_D12,7A,B7A_N0,PIN_D12,,,,,,,,,,,,,
green[1],Output,PIN_A15,7A,B7A_N0,PIN_A15,,,,,,,,,,,,,
green[0],Output,PIN_A14,7A,B7A_N0,PIN_A14,,,,,,,,,,,,,
red[7],Output,PIN_D7,8A,B8A_N0,PIN_D7,,,,,,,,,,,,,
red[6],Output,PIN_D6,8A,B8A_N0,PIN_D6,,,,,,,,,,,,,
red[5],Output,PIN_A9,8A,B8A_N0,PIN_A9,,,,,,,,,,,,,
red[4],Output,PIN_C9,8A,B8A_N0,PIN_C9,,,,,,,,,,,,,
red[3],Output,PIN_A8,8A,B8A_N0,PIN_A8,,,,,,,,,,,,,
red[2],Output,PIN_C8,8A,B8A_N0,PIN_C8,,,,,,,,,,,,,
red[1],Output,PIN_C11,7A,B7A_N0,PIN_C11,,,,,,,,,,,,,
red[0],Output,PIN_B11,7A,B7A_N0,PIN_B11,,,,,,,,,,,,,
reset,Input,PIN_C16,7A,B7A_N0,PIN_C16,,,,,,,,,,,,,
row[7],Output,PIN_T22,5A,B5A_N0,PIN_T22,,,,,,,,,,,,,
row[6],Output,PIN_R21,5A,B5A_N0,PIN_R21,,,,,,,,,,,,,
row[5],Output,PIN_C6,8A,B8A_N0,PIN_C6,,,,,,,,,,,,,
row[4],Output,PIN_B6,8A,B8A_N0,PIN_B6,,,,,,,,,,,,,
row[3],Output,PIN_B5,8A,B8A_N0,PIN_B5,,,,,,,,,,,,,
row[2],Output,PIN_A5,8A,B8A_N0,PIN_A5,,,,,,,,,,,,,
row[1],Output,PIN_B7,8A,B8A_N0,PIN_B7,,,,,,,,,,,,,
row[0],Output,PIN_A7,8A,B8A_N0,PIN_A7,,,,,,,,,,,,,
sel[2],Output,PIN_AB10,3B,B3B_N0,PIN_AB10,,,,,,,,,,,,,
sel[1],Output,PIN_AB11,3B,B3B_N0,PIN_AB11,,,,,,,,,,,,,
sel[0],Output,PIN_AA12,3B,B3B_N0,PIN_AA12,,,,,,,,,,,,,
